Type,Maker,Name,Release date,Android version,Resolution,Display (inches),Display (mm),System on Chip,RAM (MiB),Internal storage (GiB),MicroSD slot,Rear camera (Mpx),Front camera (Mpx),Networks,Connectivity,"Special features,
notes"
Smartphone,Acer,beTouch E110,2/15/10,1.5,320x240 QVGA,2.8 in ,71 mm,PNX6715,256,,,3.2,,"- GSM/â€‹GPRS/â€‹EDGE 850, 900; 1800, 1900
   - UMTS 850 1900
   - CSD
   - HSDPA
   - HSUPA","Bluetooth 2.0 + EDR, A-GPS",
Smartphone,Acer,beTouch E400,4/1/10,2.1,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7227,,,,3.2,,"- GSM 850, 900; 1800 1900
   - HSDPA 850 900 2100",Wi-Fi,resistive touch screen
Smartphone,Acer,Liquid A1 (S100),12/7/09,1.6,800x480 WVGA,3.5 in ,89 mm,Snapdragon S1 QSD8250,256,,,5,,"- GSM/â€‹GPRS/â€‹EDGE 850, 900; 1800, 1900
   - UMTS 850 1900
   - CSD
   - HSDPA
   - HSUPA","Bluetooth 2.0 + EDR, Wi-Fi 802.11g, A-GPS",
Smartphone,Acer,Liquid E,2/1/10,2.1,800x480 WVGA,3.5 in ,89 mm,Snapdragon S1 QSD8250,512,,,5,,,"Wi-Fi, Bluetooth",Customized version of Liquid with 512 MB RAM
Smartphone,Acer,Liquid E Ferrari,6/1/10,2.1,800x480 WVGA,3.5 in ,89 mm,Snapdragon S1 QSD8250,512,,,5,,3G: HSDPA,,Customized version of Liquid E with Ferrari visual styling
Smartphone,Acer,Liquid Metal,10/1/10,2.2,800x480 WVGA,3.6 in ,91 mm,Snapdragon S2 MSM7230,512,,,5,,3G: HSPA 14.4 Mbit/s,"Wi-Fi, Bluetooth",16 M colors
Smartphone,Acer,Acer Stream S110,8/1/10,2.1 with update to 2.2,800x480 WVGA,3.7 in ,94 mm,Snapdragon,512,,,5,,"- GSM 850/900, 1800/1900 MHz
   - HSDPA 900/â€‹1900/â€‹2100 MHz",Wi-Fi,"AMOLED, HDMI output"
Smartphone,Acer,Liquid Glow[4],8/1/12,4,,3.7 in ,94 mm,Snapdragon,512,1,Yes,5,,"GSM 850 / 900 / 1800 / 1900, HSDPA 900 / 1900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth with A2DP",Active noise cancellation with dedicated mic
Smartphone,Asus,PadFone,4/1/12,4,960x540 qHD,4.3 in ,110 mm,Snapdragon S4 Plus MSM8260A,1024,16,Yes,8,0.3,"GSM 850 / 900 / 1800 / 1900, HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth with A2DP and EDR, A-GPS","Super AMOLED, Optional Padfone Station with 10.1 inches display"
Smartphone,Asus,PadFone 2,11/1/12,4.1,1280x720 HD,4.7 in ,120 mm,Snapdragon S4 Pro APQ8064,2048,,,13,1.2,"GSM 850 / 900 / 1800 / 1900, HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Wi-Fi Direct, Bluetooth v4.0 with 
A2DP and EDR, A-GPS, HDMI support","Super IPS LCD, Optional Padfone Station with 10.1 inches display"
